nl,sim_mean,sim_std,sim_max,sim_min,loss,bce,kld
2.0,0.8625671815760271,0.0607062201858555,0.971383068654222,0.492037832551783,1568.526419598354,1568.4916269415787,0.0348048934837585
4.0,0.8625465192638647,0.0609796910358662,0.9777315051716684,0.560586231339501,1508.3505138301264,1508.3298664440129,0.0206438832436678
8.0,0.8779664876474133,0.0564283249534446,0.9798616256239664,0.5302304779437399,1451.2047297003592,1451.1099826489508,0.0947526595096979
16.0,0.8786301374394568,0.0580728301290653,0.9816572278164806,0.3525327941584251,1426.873021292164,1426.5890563420076,0.2839713866566677
32.0,0.8878420005298933,0.0529958670417925,0.9833715945720466,0.5817626027080341,1338.1079025153588,1337.82519180335,0.2827049139077436
64.0,0.8955568450742136,0.0571351556885639,0.9834046245081108,0.4512748091946728,1238.696235293265,1237.53187666628,1.1643551757607329
128.0,0.9058859580696046,0.0557908184947416,0.9822711285536811,0.1386764646199768,1173.1987419583863,1172.586587711545,0.612153950579904
256.0,0.9137702459904616,0.0522115476075422,0.9816372610601224,0.2492970156153313,1055.1181904377245,1053.954918515272,1.1632686060937183
512.0,0.9106592799940196,0.0709074558043972,0.9772719642476644,0.0486784557262777,985.7656988053494,982.4550625036223,3.310631287392257
1024.0,0.9172906454617448,0.0600364047416226,0.9849279224245214,0.0764258803329601,1001.2711273472818,998.039388058566,3.2317459479646247
2048.0,0.9249778827210844,0.0525145886194441,0.98843544910229,0.415603186329973,962.54374438536,961.0636505484237,1.48008978876742
2048.0,0.9199938156498128,0.0835743171015753,0.988313643699764,0.0284403966087391,999.10848344949,993.3041590899212,5.804327167419454
2048.0,0.9180536581755944,0.0630909339704159,0.986335132355132,0.3466970237112944,995.3719133063348,992.1848375738958,3.187076165776437
4096.0,0.9199766899729708,0.0483733048122679,0.9875118655768308,0.6404498511905162,2033.8601918395732,2017.8185040425408,16.041684604484264
512.0,0.9213352130533172,0.06805525736722524,0.9837048814243928,0.06058672968754839,997.3127562811521,992.7106984250029,4.602066960660333
